DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1960,3757167,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1961,3773097,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1962,3794130,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1963,3814191,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1964,3836415,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1965,3857760,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1966,3876559,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1967,3899799,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1968,3922359,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1969,3932691,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1970,3944298,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1971,3953827,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1972,3972070,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1973,3990665,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1974,4006377,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1975,4003303,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1976,3992886,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1977,3992437,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1978,3994255,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1979,3985363,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1980,3981359,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1981,3983154,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1982,3993808,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1983,3981596,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1984,3976213,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1985,3975117,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1986,3972356,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1987,3970653,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1988,3967609,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1989,3971179,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1990,3989903,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1991,4014682,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1992,4052348,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1993,4089274,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1994,4107857,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1995,4112289,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1996,4116117,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1997,4120947,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1998,4122811,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,1999,4126432,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2000,4133855,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2001,4139842,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2002,4156906,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2003,4170674,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2004,4189973,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2005,4216493,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2006,4239954,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2007,4252922,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2008,4265500,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2009,4278068,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2010,4285442,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2011,4296293,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2012,4309977,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2013,4328238,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2014,4352447,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2015,4384529,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2016,4427918,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2017,4460424,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2018,4483749,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2019,4501742,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2020,4522292,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2021,4535712,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2022,4553444,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2023,4619957,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2024,4643918,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Áustria,2025,4664333,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1960,4650891,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1961,4680332,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1962,4692881,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1963,4721909,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1964,4757001,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1965,4800240,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1966,4837409,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1967,4868944,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1968,4897385,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1969,4914120,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1970,4930511,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1971,4929078,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1972,4950716,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1973,4966920,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1974,4982187,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1975,4996106,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1976,5007918,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1977,5014837,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1978,5023356,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1979,5027912,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1980,5036166,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1981,5041979,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1982,5042116,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1983,5044878,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1984,5043503,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1985,5046163,,
ESTAT:DEMO_PJAN(1.0),12/02/26 11:00:00,Annual,Number,Total,Mulheres,Bélgica,1986,5046712,,
