01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1960,Alemanha,,Homens,,,,x,
1960,Alemanha,,Mulheres,,,,x,
1960,Alemanha,,Total,,,,x,
1960,Áustria,,Homens,,,,x,
1960,Áustria,,Mulheres,,,,x,
1960,Áustria,,Total,,,,x,
1960,Bélgica,,Homens,,,,,66.8
1960,Bélgica,,Mulheres,,,,,72.8
1960,Bélgica,,Total,,,,,69.7
1960,Bulgária,,Homens,,,,,67.5
1960,Bulgária,,Mulheres,,,,,71.1
1960,Bulgária,,Total,,,,,69.3
1960,Chéquia,,Homens,,,,,67.8
1960,Chéquia,,Mulheres,,,,,73.5
1960,Chéquia,,Total,,,,,70.7
1960,Chipre,,Homens,,,,x,
1960,Chipre,,Mulheres,,,,x,
1960,Chipre,,Total,,,,x,
1960,Croácia,,Homens,,,,x,
1960,Croácia,,Mulheres,,,,x,
1960,Croácia,,Total,,,,x,
1960,Dinamarca,,Homens,,,,x,
1960,Dinamarca,,Mulheres,,,,x,
1960,Dinamarca,,Total,,,,x,
1960,Eslováquia,,Homens,,,,,67.9
1960,Eslováquia,,Mulheres,,,,,72.7
1960,Eslováquia,,Total,,,,,70.3
1960,Eslovénia,,Homens,,,,x,
1960,Eslovénia,,Mulheres,,,,x,
1960,Eslovénia,,Total,,,,x,
1960,Espanha,,Homens,,,,x,
1960,Espanha,,Mulheres,,,,x,
1960,Espanha,,Total,,,,x,
1960,Estónia,,Homens,,,,,64.7
1960,Estónia,,Mulheres,,,,,73.1
1960,Estónia,,Total,,,,,69.4
1960,Finlândia,,Homens,,,,x,
1960,Finlândia,,Mulheres,,,,x,
1960,Finlândia,,Total,,,,x,
1960,França,,Homens,,,,x,
1960,França,,Mulheres,,,,x,
1960,França,,Total,,,,x,
1960,Grécia,,Homens,,,,x,
1960,Grécia,,Mulheres,,,,x,
1960,Grécia,,Total,,,,x,
1960,Hungria,,Homens,,,,,65.9
1960,Hungria,,Mulheres,,,,,70.2
1960,Hungria,,Total,,,,,68.1
1960,Irlanda,,Homens,,,,x,
1960,Irlanda,,Mulheres,,,,x,
1960,Irlanda,,Total,,,,x,
1960,Itália,,Homens,,,,x,
1960,Itália,,Mulheres,,,,x,
1960,Itália,,Total,,,,x,
1960,Letónia,,Homens,,,,x,
1960,Letónia,,Mulheres,,,,x,
1960,Letónia,,Total,,,,x,
1960,Lituânia,,Homens,,,,x,
1960,Lituânia,,Mulheres,,,,x,
1960,Lituânia,,Total,,,,x,
1960,Luxemburgo,,Homens,,,,x,
1960,Luxemburgo,,Mulheres,,,,x,
1960,Luxemburgo,,Total,,,,x,
1960,Malta,,Homens,,,,x,
1960,Malta,,Mulheres,,,,x,
1960,Malta,,Total,,,,x,
1960,Países Baixos,,Homens,,,,x,
1960,Países Baixos,,Mulheres,,,,x,
1960,Países Baixos,,Total,,,,x,
1960,Polónia,,Homens,,,,x,
1960,Polónia,,Mulheres,,,,x,
1960,Polónia,,Total,,,,x,
1960,Portugal,,Homens,,,,,61.1
1960,Portugal,,Mulheres,,,,,66.7
1960,Portugal,,Total,,,,,64.0
1960,Roménia,,Homens,,,,x,
1960,Roménia,,Mulheres,,,,x,
1960,Roménia,,Total,,,,x,
1960,Suécia,,Homens,,,,x,
1960,Suécia,,Mulheres,,,,x,
1960,Suécia,,Total,,,,x,
1961,Alemanha,,Homens,,,,x,
1961,Alemanha,,Mulheres,,,,x,
1961,Alemanha,,Total,,,,x,
1961,Áustria,,Homens,,,,x,
1961,Áustria,,Mulheres,,,,x,
1961,Áustria,,Total,,,,x,
1961,Bélgica,,Homens,,,,,67.6
1961,Bélgica,,Mulheres,,,,,73.6
1961,Bélgica,,Total,,,,,70.5
1961,Bulgária,,Homens,,,,,68.5
1961,Bulgária,,Mulheres,,,,,72.3
1961,Bulgária,,Total,,,,,70.4
