"código","nome do território","Data Eleição","total de freguesias","inscritos","votantes","brancos","nulos","votos validamente expressos","André Ventura","António José Seguro"
"0101","Águeda",08-02-2026,15,41513,24060,890,316,22854,8123,14731
"0102","Albergaria-a-Velha",08-02-2026,6,22422,13054,447,243,12364,4836,7528
"0103","Anadia",08-02-2026,10,25447,14254,601,196,13457,4653,8804
"0104","Arouca",08-02-2026,16,19690,11849,460,198,11191,3627,7564
"0105","Aveiro",08-02-2026,10,70163,42436,1580,634,40222,11661,28561
"0106","Castelo de Paiva",08-02-2026,9,14043,8334,235,185,7914,2216,5698
"0107","Espinho",08-02-2026,5,29330,18090,637,334,17119,4546,12573
"0108","Estarreja",08-02-2026,6,24105,13249,397,210,12642,4533,8109
"0109","Santa Maria da Feira",08-02-2026,28,127141,77583,2567,1278,73738,23643,50095
"0110","Ílhavo",08-02-2026,4,36388,19923,788,315,18820,6650,12170
"0111","Mealhada",08-02-2026,8,17628,10063,344,130,9589,2800,6789
"0112","Murtosa",08-02-2026,4,9994,4860,181,64,4615,1861,2754
"0113","Oliveira de Azeméis",08-02-2026,13,60733,36425,1073,612,34740,10932,23808
"0114","Oliveira do Bairro",08-02-2026,4,20941,11918,506,170,11242,4709,6533
"0115","Ovar",08-02-2026,8,51324,30171,956,472,28743,8179,20564
"0116","São João da Madeira",08-02-2026,1,19279,11431,395,193,10843,2751,8092
"0117","Sever do Vouga",08-02-2026,9,10131,6371,201,120,6050,2213,3837
"0118","Vagos",08-02-2026,11,22602,12267,428,201,11638,5156,6482
"0119","Vale de Cambra",08-02-2026,7,19665,12153,386,278,11489,3680,7809
"0201","Aljustrel",08-02-2026,5,7699,4525,99,92,4334,1578,2756
"0202","Almodôvar",08-02-2026,8,5866,3432,94,57,3281,1502,1779
"0203","Alvito",08-02-2026,2,1901,1140,29,23,1088,384,704
"0204","Barrancos",08-02-2026,1,1262,692,27,7,658,259,399
"0205","Beja",08-02-2026,12,28326,16718,497,299,15922,5902,10020
"0206","Castro Verde",08-02-2026,4,5994,3592,104,56,3432,1258,2174
"0207","Cuba",08-02-2026,4,3637,2103,64,30,2009,697,1312
"0208","Ferreira do Alentejo",08-02-2026,6,6111,3713,67,48,3598,1348,2250
"0209","Mértola",08-02-2026,7,5454,3171,103,50,3018,892,2126
"0210","Moura",08-02-2026,6,11778,6309,154,66,6089,2777,3312
"0211","Odemira",08-02-2026,14,19396,11203,279,203,10721,4020,6701
"0212","Ourique",08-02-2026,5,4126,2413,81,58,2274,803,1471
"0213","Serpa",08-02-2026,6,12125,6905,137,112,6656,2157,4499
"0214","Vidigueira",08-02-2026,4,4536,2687,60,37,2590,1080,1510
"0301","Amares",08-02-2026,16,17712,11276,437,150,10689,4034,6655
"0302","Barcelos",08-02-2026,65,107051,71017,2741,1118,67158,24929,42229
"0303","Braga",08-02-2026,37,167797,108842,4091,1755,102996,29836,73160
"0304","Cabeceiras de Basto",08-02-2026,14,16935,9089,224,212,8653,2565,6088
"0305","Celorico de Basto",08-02-2026,15,17279,9608,285,141,9182,2608,6574
"0306","Esposende",08-02-2026,14,33864,20972,836,357,19779,7042,12737
"0307","Fafe",08-02-2026,25,49986,28940,1034,487,27419,9471,17948
"0308","Guimarães",08-02-2026,55,143517,96200,4065,1286,90849,27777,63072
"0309","Póvoa de Lanhoso",08-02-2026,22,22191,13146,521,175,12450,4699,7751
"0310","Terras de Bouro",08-02-2026,14,6429,3704,140,50,3514,1430,2084
"0311","Vieira do Minho",08-02-2026,16,12108,6588,265,93,6230,2203,4027
"0312","Vila Nova de Famalicão",08-02-2026,39,121693,80830,3274,1261,76295,24921,51374
"0313","Vila Verde",08-02-2026,33,45312,27099,1144,384,25571,10712,14859
"0314","Vizela",08-02-2026,6,21966,14285,444,167,13674,4161,9513
"0401","Alfândega da Fé",08-02-2026,12,5042,2441,78,38,2325,955,1370
"0402","Bragança",08-02-2026,39,34883,16402,408,277,15717,5405,10312
"0403","Carrazeda de Ansiães",08-02-2026,14,5745,3044,83,63,2898,1128,1770
"0404","Freixo de Espada à Cinta",08-02-2026,4,2891,1531,20,27,1484,658,826
"0405","Macedo de Cavaleiros",08-02-2026,30,16945,7532,193,151,7188,2823,4365
"0406","Miranda do Douro",08-02-2026,13,6872,3106,118,63,2925,1059,1866
"0407","Mirandela",08-02-2026,30,22294,11168,248,183,10737,4716,6021
"0408","Mogadouro",08-02-2026,21,9533,4490,134,125,4231,1974,2257
"0409","Torre de Moncorvo",08-02-2026,13,7487,3559,100,77,3382,1334,2048
"0410","Vila Flor",08-02-2026,14,6520,3314,99,64,3151,1293,1858
"0411","Vimioso",08-02-2026,10,5180,1912,64,36,1812,651,1161
"0412","Vinhais",08-02-2026,26,9155,3757,58,60,3639,1294,2345
"0501","Belmonte",08-02-2026,5,5814,3206,56,41,3109,971,2138
"0502","Castelo Branco",08-02-2026,22,47875,28833,674,515,27644,9507,18137
"0503","Covilhã",08-02-2026,25,42927,26104,606,408,25090,6430,18660
"0504","Fundão",08-02-2026,23,24666,14518,354,270,13894,4480,9414
"0505","Idanha-a-Nova",08-02-2026,13,7422,4183,56,67,4060,1429,2631
"0506","Oleiros",08-02-2026,10,4438,2679,106,67,2506,888,1618
"0507","Penamacor",08-02-2026,9,3975,2616,20,27,2569,467,2102
"0508","Proença-a-Nova",08-02-2026,4,6530,4101,102,73,3926,1303,2623
