trail,region,difficulty,time,distance,season
"PR1 – Trilho da Calcedónia","Lugar do Calvário, Covide",Difficult,4,7,year-round
"PR2 – Trilho do Castelo","Lugar do Calvário, Covide",Intermediate,6,14,year-round
"PR3 – Trilho dos Currais","Rua Tude de Sousa, Vila do Gerês",Intermediate,5,10,year-round
"PR4 – Trilho dos Moinhos e Regadios","Lugar de Sequeirós, Chamoim",Intermediate,4,8,year-round
"PR5 – Trilho da Águia do Sarilhão","Campo do Gerês, Terras de Bouro",Intermediate,3,9,year-round
"PR6 – Trilho dos Miradouros","Rua Tude de Sousa, Vila do Gerês",Intermediate,5,12,year-round
"PR7 – Trilho de S. Bento","Lugar da Seara, Rio Caldo",Intermediate,6,14,year-round
"PR8 – Trilho do Couto do Souto","Lugar de Sá, Souto",Intermediate,4,9,year-round
"PR9 – Trilho da Geira","Lugar da Aldeia, Chorense",Intermediate,4,10,year-round
"PR10 – Trilho da Preguiça","Casa da Preguiça, Vilar da Veiga",Easy,3,6,year-round
"PR11 – Trilho das Silhas dos Ursos","Junceda, Campo do Gerês",Intermediate,3,5,year-round
"PR12 – Trilho Moinhos de Stª Isabel","Lugar de Rebordochão, Stª Isabel do Monte",Intermediate,7,18,year-round
"PR13 – Trilho da Caniçada","Lugar do Assento, Valdosende",Intermediate,5,13,year-round
"PR14 – Trilho do Sobreiral da Ermida","Ermida, Vilar da Veiga",Difficult,5,14,year-round
"PR15 – Trilho do Bom Jesus do Monte das Mós","Campo do Gerês, Terras de Bouro",Difficult,4,12,year-round
"GR34 – Trilho da Serra Amarela","Aldeia de Cutelo, Terras de Bouro",Difficult,24,35,year-round
